page,line,raw_text,clean_text,avg_conf
64,3,",f.^4*.„.*.ov",",f.4...ov",105.38461538461539
67,1,^',,155.0
67,2,m,m,0.0
67,3,»,,62.0
67,4,rr',rr,31.666666666666668
68,1,T,T,13.0
69,1,I,I,28.0
69,2,' H,H,110.66666666666667
69,3,J.,J.,139.0
75,1,■■,,255.0
75,2,J,J,0.0
79,1,it,it,142.5
79,2,ISi-iW/-'-' f ■^'•.»''.:     I,ISi-iW/-- f ..: I,112.53333333333333
79,3,■-■ i,- i,162.2
79,4,if^,if,112.33333333333333
80,1,".^^n>,",".n,",170.0
80,2,►^* f,f,170.6
80,3,f,f,7.0
80,4,«,,89.0
80,5,l^\i.^,l\i.,135.83333333333334
81,1,<^--»K-*'\^ / i,--K-\ / i,125.13333333333334
81,2,M;,M;,31.5
83,1,;^,;,127.5
84,1,v^?-r^,v-r,135.33333333333334
85,1,t,t,0.0
85,2,"/-/j"" ^„ ^C^'^f'"" „rfi; ^V*",/-/j  Cf rfi; V,113.07407407407408
85,3,O,O,23.0
85,4,V]%^^,V],109.6
85,5,f*^ifm^s!,fifms,78.0
87,1,'S^^,S,83.75
87,2,*^>*^'^/,/,119.125
87,3,^W^'^'',W,141.28571428571428
88,1,J'.?'',J.,40.333333333333336
90,1,':wl,:wl,50.0
90,2,"of., ......,,^,.^ \*^Tfo ..„/^ 4»","of., ......,,,. \Tfo ../ 4",155.03030303030303
91,1,''/,/,43.666666666666664
93,1,r,r,25.0
93,2,1^^,1,170.0
93,3,'J,J,27.0
93,4,l1,l1,17.5
93,5,4^,4,127.5
93,6,"■■'""    ^y",y,189.6
95,1,f I,f I,94.0
95,2,"p^,","p,",105.0
96,1,-^^,-,191.33333333333334
97,1,~^^%.a.;,.a.;,139.5
97,2,"'^ I ""^",I,194.57142857142858
97,3,"r, f..,..,„.a;.^-'^","r, f..,..,.a;.-",89.15789473684211
99,1,7^X,7X,93.66666666666667
100,1,'■■ '■■r^.'.'K^^g,r..Kg,156.2941176470588
100,2,"» ^11J \f«'Tu,""'r","11J \fTu,r",101.70588235294117
100,3,"tL /e?„R,^","tL /eR,",79.0
101,1,"ctft^, % -« .r« 4=fc i-C^M *'","ctft,  - .r 4fc i-CM",107.3103448275862
101,2,A,A,0.0
102,1,"i ;'  „is. ^U ""'«"" ""^""^m",i ; is. U  m,117.95833333333333
105,1,<^^,,170.0
105,2,%,,3.0
105,3,M^T,MT,85.0
105,4,'^YW',YW,82.6
106,1,"7,;..   Jf„«   r,J..   /.>..   .ft""-*"". ''^f.I","7,;.. Jf r,J.. /... .ft-. f.I",130.58695652173913
108,1,jk,jk,12.0
110,1,■'^^^^,,223.16666666666666
111,1,.>,.,127.5
111,2,Hm^&m,Hmm,122.6
112,1,i.^^,i.,201.0
112,2,■I,I,139.0
113,1,f^,f,172.0
113,2,H,H,33.0
114,1,"^^^- ••'■ ■^-'"" ,. ^   ':*","-  - ,.  :",184.96153846153845
114,2,iB^,iB,100.33333333333333
115,1,>k-,k-,35.333333333333336
115,2,"lt.^4 *../«/.< ^ICj „.V, >„, Jf.^ £^ ,.","lt.4 ..//. ICj .V, , Jf.  ,.",107.02564102564102
115,3,I;^..:     .1... .  .-A.v    ^.^..^a.;;  <Md^C  #}&Jlftff    JVor'-'-''     -,I;..: .1... . .-A.v ...a.;; MdC }Jlftff JVor-- -,131.7922077922078
115,4,- .tT^k^'rt?/:?^,- .tTkrt/:,106.9375
116,1,■^,,255.0
116,2,ddtt*,ddtt,57.0
117,1,^^^m,m,191.25
117,2,%,,0.0
117,3,#.,.,127.5
117,4,I,I,53.0
118,1,i,i,30.0
119,1,"h-^'  i   U^..% A^,","h- i U.. A,",148.26315789473685
119,2,"A.p,.:^ ^^^,t^ f,;,'","A.p,.: ,t f,;,",160.65
119,3,>-rp:.,-rp:.,55.666666666666664
120,1,-i*-,-i-,54.75
122,1,■^i,i,197.33333333333334
122,2,K.,K.,128.0
122,3,"T^.   •""",T.,194.0
122,4,'^,,166.5
122,5,■itt,itt,131.0
